year,state,geography_standardized,party,total_voters,percent
2016,colorado,Kiowa,Democratic,145,15.425531914893616
2016,colorado,Kiowa,Other/Unaffiliated,227,24.148936170212764
2016,colorado,Kiowa,Republican,568,60.42553191489362
2016,colorado,Kit Carson,Democratic,584,13.606710158434296
2016,colorado,Kit Carson,Other/Unaffiliated,1163,27.096924510717614
2016,colorado,Kit Carson,Republican,2545,59.29636533084809
2016,colorado,La Plata,Democratic,12204,33.46403795003976
2016,colorado,La Plata,Other/Unaffiliated,13042,35.76187995283666
2016,colorado,La Plata,Republican,11223,30.774082097123586
2016,colorado,Lake,Democratic,1878,45.74908647990256
2016,colorado,Lake,Other/Unaffiliated,1428,34.78684531059683
2016,colorado,Lake,Republican,799,19.46406820950061
2016,colorado,Larimer,Democratic,64001,28.304748931954677
2016,colorado,Larimer,Other/Unaffiliated,89237,39.465490858593455
2016,colorado,Larimer,Republican,72876,32.22976020945187
2016,colorado,Las Animas,Democratic,3967,47.40112319273509
2016,colorado,Las Animas,Other/Unaffiliated,2168,25.905126060461225
2016,colorado,Las Animas,Republican,2234,26.69375074680368
2016,colorado,Lincoln,Democratic,398,14.462209302325583
2016,colorado,Lincoln,Other/Unaffiliated,648,23.546511627906977
2016,colorado,Lincoln,Republican,1706,61.991279069767444
2016,colorado,Logan,Democratic,1867,16.520661888328465
2016,colorado,Logan,Other/Unaffiliated,3528,31.218476241040616
2016,colorado,Logan,Republican,5906,52.26086187063091
2016,colorado,Mesa,Democratic,17890,19.57566009038287
2016,colorado,Mesa,Other/Unaffiliated,32499,35.56117257000295
2016,colorado,Mesa,Republican,41000,44.86316733961418
2016,colorado,Mineral,Democratic,266,36.43835616438356
2016,colorado,Mineral,Other/Unaffiliated,143,19.589041095890412
2016,colorado,Mineral,Republican,321,43.97260273972603
2016,colorado,Moffat,Democratic,862,11.541036283304324
2016,colorado,Moffat,Other/Unaffiliated,2272,30.419065470611862
2016,colorado,Moffat,Republican,4335,58.03989824608381
2016,colorado,Montezuma,Democratic,3701,22.630549101137337
2016,colorado,Montezuma,Other/Unaffiliated,5041,30.824263177204354
2016,colorado,Montezuma,Republican,7612,46.54518772165831
2016,colorado,Montrose,Democratic,4564,18.482222402202964
2016,colorado,Montrose,Other/Unaffiliated,8202,33.21454604357334
2016,colorado,Montrose,Republican,11928,48.3032315542237
2016,colorado,Morgan,Democratic,2946,20.473973173952327
2016,colorado,Morgan,Other/Unaffiliated,5040,35.026756550142466
2016,colorado,Morgan,Republican,6403,44.499270275905204
2016,colorado,Otero,Democratic,3406,32.25989770789922
2016,colorado,Otero,Other/Unaffiliated,3223,30.526614889183556
2016,colorado,Otero,Republican,3929,37.21348740291722
2016,colorado,Ouray,Democratic,1160,30.704076230809953
2016,colorado,Ouray,Other/Unaffiliated,1303,34.489147697194284
2016,colorado,Ouray,Republican,1315,34.80677607199576
2016,colorado,Park,Democratic,2577,20.740442655935613
2016,colorado,Park,Other/Unaffiliated,4775,38.43058350100604
2016,colorado,Park,Republican,5073,40.82897384305835
2016,colorado,Phillips,Democratic,431,15.97479614529281
2016,colorado,Phillips,Other/Unaffiliated,693,25.685693106004447
2016,colorado,Phillips,Republican,1574,58.339510748702736
2016,colorado,Pitkin,Democratic,4848,38.53736089030207
2016,colorado,Pitkin,Other/Unaffiliated,5591,44.44356120826709
2016,colorado,Pitkin,Republican,2141,17.019077901430844
2016,colorado,Prowers,Democratic,1381,22.52120026092629
2016,colorado,Prowers,Other/Unaffiliated,1833,29.892367906066536
2016,colorado,Prowers,Republican,2918,47.586431833007175
2016,colorado,Pueblo,Democratic,41843,42.80745189110664
2016,colorado,Pueblo,Other/Unaffiliated,30602,31.307354701423062
2016,colorado,Pueblo,Republican,25302,25.885193407470307
2016,colorado,Rio Blanco,Democratic,342,8.780487804878048
2016,colorado,Rio Blanco,Other/Unaffiliated,789,20.256739409499357
2016,colorado,Rio Blanco,Republican,2764,70.96277278562259
2016,colorado,Rio Grande,Democratic,2170,32.176749703440095
2016,colorado,Rio Grande,Other/Unaffiliated,1800,26.690391459074732
2016,colorado,Rio Grande,Republican,2774,41.13285883748517
2016,colorado,Routt,Democratic,5138,30.72231523558957
2016,colorado,Routt,Other/Unaffiliated,6886,41.17436020090887
2016,colorado,Routt,Republican,4700,28.103324563501552
2016,colorado,Saguache,Democratic,1670,46.23477297895903
2016,colorado,Saguache,Other/Unaffiliated,1096,30.34330011074197
2016,colorado,Saguache,Republican,846,23.421926910299003
2016,colorado,San Juan,Democratic,172,28.95622895622896
2016,colorado,San Juan,Other/Unaffiliated,285,47.97979797979798
2016,colorado,San Juan,Republican,137,23.063973063973066
2016,colorado,San Miguel,Democratic,2511,47.3237843950245
2016,colorado,San Miguel,Other/Unaffiliated,1875,35.337353938937056
2016,colorado,San Miguel,Republican,920,17.338861666038447
2016,colorado,Sedgwick,Democratic,252,16.010165184243967
2016,colorado,Sedgwick,Other/Unaffiliated,420,26.683608640406607
2016,colorado,Sedgwick,Republican,902,57.30622617534943
2016,colorado,Summit,Democratic,6237,31.555780419934226
2016,colorado,Summit,Other/Unaffiliated,8943,45.24664811535543
2016,colorado,Summit,Republican,4585,23.197571464710347
2016,colorado,Teller,Democratic,2779,16.626779944956326
2016,colorado,Teller,Other/Unaffiliated,5657,33.84587770731123
2016,colorado,Teller,Republican,8278,49.52734234773244
2016,colorado,Washington,Democratic,280,9.26232219649355
2016,colorado,Washington,Other/Unaffiliated,545,18.028448561032086
2016,colorado,Washington,Republican,2198,72.70922924247436
2016,colorado,Weld,Democratic,37939,23.541347365024603
2016,colorado,Weld,Other/Unaffiliated,61017,37.861366724787324
2016,colorado,Weld,Republican,62203,38.59728591018807
2016,colorado,Yuma,Democratic,831,15.070729053318823
2016,colorado,Yuma,Other/Unaffiliated,1600,29.017047515415307
2016,colorado,Yuma,Republican,3083,55.91222343126587
2016,connecticut,Fairfield,Democratic,190274,35.811496251795056
2016,connecticut,Fairfield,Other/Unaffiliated,211512,39.80870321331172
2016,connecticut,Fairfield,Republican,129535,24.37980053489322
2016,connecticut,Hartford,Democratic,218036,42.507032972603085
2016,connecticut,Hartford,Other/Unaffiliated,199427,38.87913034832466
2016,connecticut,Hartford,Republican,95478,18.61383667907225
2016,connecticut,Litchfield,Democratic,27999,26.846738004832588
2016,connecticut,Litchfield,Other/Unaffiliated,45747,43.86434242319641
2016,connecticut,Litchfield,Republican,30546,29.288919571971007
2016,connecticut,Middlesex,Democratic,25975,30.485657950330967
